Level 1,Level 2,Level 3
Bypass,Bypass,FY-BYPASS FUNDS
Bypass,Bypass,FY-FUNDS-NASA
Bypass,Bypass,FY-FUNDS-REIMBURSABLE
Labor,Chargebacks,CB-CELLULAR & PAGERS
Labor,Chargebacks,CB-DESKTOP NETWORK SERVICES
Labor,Chargebacks,CB-FILE SERVICE
Labor,Chargebacks,CB-MESSAGING
Labor,Chargebacks,CB-NETWORK SERVICES
Labor,Chargebacks,CB-TELEPHONE CHARGES
Labor,CAT-A,LC-1260 TRANSFER
Labor,CAT-A,LC-CAT-A RTS BUDGET #1
Labor,CAT-A,LC-CAT-A RTS BUDGET #2
Labor,CAT-A,LC-CAT-A RTS BUDGET #3
Labor,CAT-A,LC-CAT-A RTS BUDGET #4
Labor,CAT-A,LC-CAT-A RTS BUDGET #5
Labor,CAT-A,LC-CAT-A RTS BUDGET #6
Labor,CAT-A,LC-CAT-A RTS BUDGET #7
Labor,CAT-A,LC-CAT-A RTS O/T
Labor,CAT-A,LC-CAT-A RTS S/T
Labor,CAT-A,LC-CAT-A SEC BUDGET #1
Labor,CAT-A,LC-CAT-A SEC BUDGET #2
Labor,CAT-A,LC-CAT-A SEC BUDGET #3
Labor,CAT-A,LC-CAT-A SEC BUDGET #4
Labor,CAT-A,LC-CAT-A SEC BUDGET #5
Labor,CAT-A,LC-CAT-A SEC BUDGET #6
Labor,CAT-A,LC-CAT-A SEC BUDGET #7
Labor,CAT-A,LC-CAT-A SEC D/T
Labor,CAT-A,LC-CAT-A SEC O/T
Labor,CAT-A,LC-CAT-A SEC S/T
Labor,CAT-A,LC-SECRETARIAL SUPPORT
Labor,JPL,LJ-1260 TRANSFER
Labor,JPL,LJ-ADMIN-LEVEL I
Labor,JPL,LJ-ADMIN-LEVEL II
Labor,JPL,LJ-ADMIN-LEVEL III
Labor,JPL,LJ-ADMIN-LEVEL IV
Labor,JPL,LJ-COMM-1-2
Labor,JPL,LJ-COMM-3-4
Labor,JPL,LJ-COMM-5-6
Labor,JPL,LJ-ED&O-ASSOC
Labor,JPL,LJ-ED&O-PRIN
Labor,JPL,LJ-ED&O-SENIOR
Labor,JPL,LJ-ED&O-STAFF
Labor,JPL,LJ-EDUCATIONAL
Labor,JPL,LJ-EMP HEALTH WELL-1-2
Labor,JPL,LJ-EMP HEALTH WELL-3-4
Labor,JPL,LJ-EMP HEALTH WELL-5-6
Labor,JPL,LJ-ENG SCI SUPP-ASSOC
Labor,JPL,LJ-ENG SCI SUPP-SENIOR
Labor,JPL,LJ-ENG SCI SUPP-STAFF
Labor,JPL,LJ-ENGINEERING-1-2
Labor,JPL,LJ-ENGINEERING-3
Labor,JPL,LJ-ENGINEERING-4
Labor,JPL,LJ-ENGINEERING-5-6
Labor,JPL,LJ-ENGINEERING-ASSOC
Labor,JPL,LJ-ENGINEERING-PRIN
Labor,JPL,LJ-ENGINEERING-SENIOR
Labor,JPL,LJ-ENGINEERING-STAFF
Labor,JPL,LJ-ENT SUPP-ASSOC
Labor,JPL,LJ-ENT SUPP-SENIOR
Labor,JPL,LJ-ENT SUPP-STAFF
Labor,JPL,LJ-EXEC MGMT
Labor,JPL,LJ-FACILITIES-1-2
Labor,JPL,LJ-FACILITIES-3-4
Labor,JPL,LJ-FACILITIES-5-6
Labor,JPL,LJ-FINANC BUS OPS-1-2
Labor,JPL,LJ-FINANC BUS OPS-3
Labor,JPL,LJ-FINANC BUS OPS-4
Labor,JPL,LJ-FINANC BUS OPS-5-6
Labor,JPL,LJ-GRAD STUDENT
Labor,JPL,LJ-GS MANAGEMENT TIME
Labor,JPL,LJ-GS TECH DIR CATA
Labor,JPL,LJ-HEALTHANDSAFETY-1-2
Labor,JPL,LJ-HEALTHANDSAFETY-3-4
Labor,JPL,LJ-HEALTHANDSAFETY-5-6
Labor,JPL,LJ-HUMAN RESOURCES-1-2
Labor,JPL,LJ-HUMAN RESOURCES-3-4
Labor,JPL,LJ-HUMAN RESOURCES-5-6
Labor,JPL,LJ-INFO SCI-1-2
Labor,JPL,LJ-INFO SCI-3-4
Labor,JPL,LJ-INFO SCI-5-6
Labor,JPL,LJ-INST ADMIN OPS-1-2
Labor,JPL,LJ-INST ADMIN OPS-3
Labor,JPL,LJ-INST ADMIN OPS-4
Labor,JPL,LJ-INST ADMIN OPS-5-6
Labor,JPL,LJ-INST LDRSHP
Labor,JPL,LJ-INTERIM EMP
Labor,JPL,LJ-IS&CS-ASSOC
Labor,JPL,LJ-IS&CS-PRIN
Labor,JPL,LJ-IS&CS-SENIOR
Labor,JPL,LJ-IS&CS-STAFF
Labor,JPL,LJ-LINE MGR-MGR I
Labor,JPL,LJ-LINE MGR-MGR I PRIN
Labor,JPL,LJ-LINE MGR-MGR II
Labor,JPL,LJ-LINE MGR-MGR III
Labor,JPL,LJ-LOGISTICS-1-2
Labor,JPL,LJ-LOGISTICS-3-4
Labor,JPL,LJ-LOGISTICS-5-6
Labor,JPL,LJ-LPPL-1-2
Labor,JPL,LJ-LPPL-3
Labor,JPL,LJ-LPPL-4
Labor,JPL,LJ-LPPL-5-6
Labor,JPL,LJ-MANAGEMENT-1-2
Labor,JPL,LJ-MANAGEMENT-3-4
Labor,JPL,LJ-NON QUOTA O/T
Labor,JPL,LJ-NON QUOTA S/T
Labor,JPL,LJ-OT DT EWW
Labor,JPL,LJ-PROG PROJ MGR-MGR I
Labor,JPL,LJ-PROG PROJ MGR-MGR I PRIN
Labor,JPL,LJ-PROG PROJ MGR-MGR II
Labor,JPL,LJ-PROG PROJ MGR-MGR III
Labor,JPL,LJ-PROTECTIVE SVCS-1-2
Labor,JPL,LJ-PROTECTIVE SVCS-3-4
Labor,JPL,LJ-PROTECTIVE SVCS-5-6
Labor,JPL,LJ-QUOTA O/T
Labor,JPL,LJ-RESEARCH-1-2
Labor,JPL,LJ-RESEARCH-3
Labor,JPL,LJ-RESEARCH-4
Labor,JPL,LJ-RESEARCH-5-6
Labor,JPL,LJ-SCI & TECH SPEC-ASSOC
Labor,JPL,LJ-SCI & TECH SPEC-MGR I
Labor,JPL,LJ-SCI & TECH SPEC-MGR I PRIN
Labor,JPL,LJ-SCI & TECH SPEC-MGR II
Labor,JPL,LJ-SCI & TECH SPEC-PRIN
Labor,JPL,LJ-SCI & TECH SPEC-PRIN SCI
Labor,JPL,LJ-SCI & TECH SPEC-RES SCI
Labor,JPL,LJ-SCI & TECH SPEC-SCI
Labor,JPL,LJ-SCI & TECH SPEC-SENIOR
